Municipio;UF;Regiao;Ano;Populacao;PessoalOcupado;PessoalAssalariado;PIB;QtEmpresas;AreaPlantada_h;VlProducaoAgricola;VlProducaoPecuaria;Area;NrNascimentos;NrObitosInfantis;povoamento;Exportacoes_R$
Monte Santo do Tocantins;TO;Norte;2018,5;2276,67;205,0;186,67;40591600,0;23,0;28333,33;14500,0;4666,67;1091,6;29,83;0,33;2,09;0,0
Monte Sião;MG;Sudeste;2018,5;23721,67;5922,5;4278,33;431169800,0;1,24;38333,33;54666,67;20166,67;291,6;203,67;2,67;81,35;22443870,59
Monte das Gameleiras;RN;Nordeste;2018,5;2125,83;293,83;280,83;24149800,0;15,5;0,0;833,33;0,0;71,9;45,17;0,5;29,57;0,0
Monte do Carmo;TO;Norte;2018,5;7907,67;537,67;489,33;170758400,0;52,67;450000,0;393333,33;4333,33;3616,7;93,5;1,17;2,19;7859,23
Monteiro;PB;Nordeste;2018,5;33272,17;3166,17;2668,0;524660600,0;454,33;35000,0;4666,67;5333,33;986,4;495,5;8,5;33,73;0,0
Monteiro Lobato;SP;Sudeste;2018,5;4625,67;672,17;492,67;65990600,0;146,33;100000,0;24333,33;3000,0;333,3;34,5;0,0;13,88;794525,97
Monteirópolis;AL;Nordeste;2018,5;7193,17;1196,83;1122,5;58432200,0;36,33;0,0;0,0;5000,0;86,1;114,33;2,67;83,54;0,0
Montenegro;RS;Sul;2018,5;64891,5;20688,5;17060,33;3528403800,0;2,51;43333,33;52166,67;8666,67;424,0;887,67;6,67;153,05;1802064217,36
Montes Altos;MA;Nordeste;2018,5;9064,67;1030,83;932,5;64507200,0;33,0;0,0;3166,67;3500,0;1488,3;158,67;2,0;6,09;0,0
Montes Claros;MG;Sudeste;2018,5;407570,83;93603,83;77750,67;9321940400,0;11,26;53333,33;42833,33;682833,33;3568,9;6,16;64,17;114,2;742705338,71
Montes Claros de Goiás;GO;Centro-Oeste;2018,5;8111,33;1452,33;1185,83;326987400,0;244,0;315000,0;483000,0;67166,67;2899,2;99,33;0,67;2,8;41103,32
Montezuma;MG;Sudeste;2018,5;8232,83;671,67;589,5;66879800,0;86,67;21666,67;3166,67;0,0;1130,4;80,83;0,5;7,28;0,0
Montividiu;GO;Centro-Oeste;2018,5;13170,17;1675,33;1389,17;830115000,0;277,5;6200000,0;237733,0;37166,67;1874,2;171,17;1,33;7,03;1721706,45
Montividiu do Norte;GO;Centro-Oeste;2018,5;4473,17;340,5;276,83;69887600,0;67,0;36666,67;38833,33;2666,67;1333,0;45,83;0,83;3,36;8765,19
Monção;MA;Nordeste;2018,5;33371,17;1362,67;1292,83;215292000,0;76,67;18333,33;5000,0;5833,33;1302,0;560,33;8,33;25,63;0,0
Monções;SP;Sudeste;2018,5;2257,17;447,0;344,17;65517200,0;74,5;46666,67;77500,0;1500,0;104,2;22,83;0,0;21,66;5843939,0
Morada Nova;CE;Nordeste;2018,5;61759,5;4257,67;3639,17;947287400,0;557,5;705000,0;36500,0;156500,0;2779,2;727,0;6,17;22,22;19189326,2
Morada Nova de Minas;MG;Sudeste;2018,5;8869,33;1907,17;1577,33;317098600,0;228,33;186666,67;111666,67;57666,67;2084,3;83,83;1,5;4,26;0,0
Moraújo;CE;Nordeste;2018,5;8706,67;631,83;579,0;65460000,0;39,67;38333,33;1166,67;4333,33;415,6;113,0;1,67;20,95;0,0
Moreilândia;PE;Nordeste;2018,5;11259,5;730,17;651,5;83367200,0;79,67;41666,67;1166,67;5166,67;404,6;141,67;1,83;27,83;0,0
Moreira Sales;PR;Sul;2018,5;12269,17;1702,33;1381,17;286755200,0;245,5;581666,67;160333,33;61666,67;353,8;137,0;1,17;34,68;0,0
Moreno;PE;Nordeste;2018,5;62638,17;6201,17;5407,33;684991000,0;643,5;6666,67;50000,0;39166,67;196,1;753,17;10,33;319,42;35818967,03
Mormaço;RS;Sul;2018,5;3057,83;331,33;256,67;93632000,0;78,83;508333,33;47833,33;31666,67;146,1;28,0;0,83;20,93;0,0
Morpará;BA;Nordeste;2018,5;8657,0;486,0;421,67;65207000,0;71,17;61666,67;1166,67;1166,67;1696,9;104,17;2,17;5,1;0,0
Morretes;PR;Sul;2018,5;16455,17;2636,0;2179,5;334159600,0;390,33;28333,33;20666,67;5166,67;684,6;227,0;2,0;24,04;395350,72
Morrinhos;CE;Nordeste;2018,5;22448,67;1065,17;917,17;151754800,0;151,67;148333,33;11833,33;5166,67;415,6;320,83;5,0;54,02;32059910,84
Morrinhos;GO;Centro-Oeste;2018,5;45956,17;9254,17;7723,33;1363476400,0;1,29;360000,0;484666,67;245000,0;2846,2;622,5;8,0;16,15;51593745,13
Morrinhos do Sul;RS;Sul;2018,5;3013,83;378,5;271,83;58442000,0;131,83;30000,0;40833,33;0,0;165,4;32,5;0,33;18,22;0,0
Morro Agudo;SP;Sudeste;2018,5;32773,0;4768,0;3479,17;1221911000,0;1,18;6140000,0;515500,0;2833,33;1388,2;365,17;3,33;23,61;2136,63
Morro Agudo de Goiás;GO;Centro-Oeste;2018,5;2278,67;558,33;532,5;41190600,0;32,5;0,0;25333,33;40666,67;282,6;27,0;0,17;8,06;0,0
Morro Cabeça no Tempo;PI;Nordeste;2018,5;4376,33;766,0;690,5;31372000,0;23,17;40000,0;4833,33;0,0;2116,9;66,83;0,83;2,07;0,0
Morro Grande;SC;Sul;2018,5;2899,33;483,5;379,5;126196200,0;76,67;40000,0;58500,0;4666,67;256,4;37,17;0,5;11,31;11454469,76
Morro Redondo;RS;Sul;2018,5;6571,0;1280,33;1140,0;94542600,0;115,0;50000,0;46166,67;3000,0;244,6;52,33;0,83;26,86;107465,6
Morro Reuter;RS;Sul;2018,5;6360,0;1451,5;1116,5;189282800,0;243,5;0,0;4833,33;58666,67;87,6;61,67;0,0;72,6;1088165,88
Morro da Fumaça;SC;Sul;2018,5;17730,83;7415,17;6292,67;648907400,0;792,17;25000,0;6500,0;4000,0;82,9;237,0;2,17;213,88;83962924,4
Morro da Garça;MG;Sudeste;2018,5;2501,17;349,0;305,0;73589000,0;34,33;0,0;2333,33;28000,0;414,8;30,33;0,17;6,03;0,0
Morro do Chapéu;BA;Nordeste;2018,5;35891,17;2601,5;2251,0;448312600,0;310,67;113333,33;40166,67;4833,33;5742,9;507,67;6,83;6,25;3541289,72
Morro do Chapéu do Piauí;PI;Nordeste;2018,5;6761,5;398,0;355,17;49065800,0;44,17;43333,33;1000,0;0,0;328,3;103,17;1,83;20,6;0,0
Morro do Pilar;MG;Sudeste;2018,5;3228,17;340,5;281,0;34071000,0;47,17;0,0;5666,67;4000,0;477,5;31,17;1,0;6,76;0,0
Morros;MA;Nordeste;2018,5;19400,5;2350,17;2171,17;123516200,0;83,0;35000,0;4500,0;0,0;1715,1;334,17;5,17;11,31;0,0
Mortugaba;BA;Nordeste;2018,5;12203,67;951,67;713,5;91999600,0;224,5;38333,33;2333,33;5500,0;612,2;115,33;1,83;19,93;0,0
Morungaba;SP;Sudeste;2018,5;13519,0;5692,0;4963,83;479662600,0;504,83;48333,33;15000,0;4666,67;146,9;159,83;2,5;92,03;37872840,83
Mossoró;RN;Nordeste;2018,5;297236,67;57380,67;49152,83;6638473600,0;6,07;748333,33;493166,67;66833,33;2099,3;3,71;39,33;141,59;126678169,71
Mossâmedes;GO;Centro-Oeste;2018,5;4408,5;696,67;609,0;90184000,0;143,0;16666,67;28166,67;71000,0;684,5;50,67;0,5;6,44;0,0
Mostardas;RS;Sul;2018,5;12808,5;2109,83;1697,33;377811000,0;307,5;326666,67;213000,0;0,0;1983,0;140,83;1,33;6,46;0,0
Motuca;SP;Sudeste;2018,5;4737,0;637,33;536,5;91025600,0;77,67;425000,0;66166,67;0,0;228,7;49,5;0,5;20,71;0,0
Mozarlândia;GO;Centro-Oeste;2018,5;15519,33;1487,83;1200,33;658195400,0;285,33;48333,33;14000,0;4666,67;1734,4;232,67;3,0;8,95;5579180,95
Muaná;PA;Norte;2018,5;40056,5;1097,67;1033,67;273103000,0;56,83;28333,33;44500,0;0,0;3765,5;609,33;12,5;10,64;0,0
Mucajaí;RR;Norte;2018,5;17584,17;1111,83;973,17;308103800,0;116,83;48333,33;49000,0;4000,0;12461,2;336,67;5,67;1,41;0,0
Mucambo;CE;Nordeste;2018,5;14479,33;1136,5;1041,17;103181600,0;91,83;58333,33;3833,33;3500,0;190,6;168,5;2,17;75,97;0,0
Mucugê;BA;Nordeste;2018,5;9328,83;1889,33;1630,0;430383000,0;185,17;141666,67;365860,0;2500,0;2455,0;153,5;3,17;3,8;1296878,43
Mucuri;BA;Nordeste;2018,5;41934,67;5904,83;5106,17;2165123400,0;561,83;326666,67;146166,67;40500,0;1780,6;637,83;5,33;23,55;67704967,63
Mucurici;ES;Sudeste;2018,5;5629,0;670,17;584,67;76436200,0;73,67;43333,33;13833,33;29166,67;538,8;82,5;0,83;10,45;0,0
Muitos Capões;RS;Sul;2018,5;3162,17;371,5;284,17;519021400,0;55,17;1685000,0;416896,67;3833,33;1197,9;36,83;0,33;2,64;14559,73
Muliterno;RS;Sul;2018,5;1896,83;241,67;170,33;50732800,0;60,5;61666,67;59500,0;60666,67;111,1;25,5;0,33;17,07;0,0
Mulungu;CE;Nordeste;2018,5;11870,83;900,83;824,0;111813400,0;83,17;45000,0;39833,33;0,0;95,6;134,67;1,83;124,17;0,0
