Municipio;UF;Regiao;Ano;Populacao;PessoalOcupado;PessoalAssalariado;PIB;QtEmpresas;AreaPlantada_h;VlProducaoAgricola;VlProducaoPecuaria;Area;NrNascimentos;NrObitosInfantis;povoamento;Exportacoes_R$
São Miguel dos Campos;AL;Nordeste;2018,5;61530,33;6416,67;5708,0;1014950600,0;598,5;510000,0;185500,0;3833,33;360,8;854,67;9,83;170,54;8967225,21
São Miguel dos Milagres;AL;Nordeste;2018,5;7983,0;1269,67;1153,83;147050000,0;100,17;51666,67;25500,0;166,67;76,7;132,67;2,0;104,08;0,0
São Nicolau;RS;Sul;2018,5;5388,67;390,17;329,17;154637200,0;74,83;670000,0;150000,0;4000,0;485,3;55,0;0,33;11,1;0,0
São Patrício;GO;Centro-Oeste;2018,5;2047,33;1154,83;1106,83;38562600,0;38,0;41666,67;24666,67;21000,0;172,0;23,67;0,17;11,9;0,0
São Paulo;SP;Sudeste;2018,5;12215931,33;7194204,67;6423645,33;721807861000,0;570,43;943333,33;5833,33;14000,0;1523,3;157,4;1,72;8019,39;53529717558,32
São Paulo das Missões;RS;Sul;2018,5;5936,67;630,33;484,67;159255200,0;134,83;63333,33;43000,0;50666,67;223,9;49,67;0,5;26,51;0,0
São Paulo de Olivença;AM;Norte;2018,5;39011,83;1425,33;1079,5;255331200,0;32,67;0,0;4500,0;1000,0;19745,9;945,5;22,17;1,98;0,0
São Paulo do Potengi;RN;Nordeste;2018,5;17595,33;1514,67;1305,0;186239200,0;178,83;18333,33;4166,67;3166,67;240,4;208,17;2,33;73,19;0,0
São Pedro;RN;Nordeste;2018,5;6020,0;359,67;327,83;53788000,0;28,17;25000,0;3666,67;3333,33;195,2;76,67;0,83;30,84;1964287,89
São Pedro;SP;Sudeste;2018,5;35457,0;7108,5;5459,0;757397600,0;1,19;541666,67;161500,0;33000,0;611,0;410,67;3,0;58,03;19885551,25
São Pedro da Aldeia;RJ;Sudeste;2018,5;103217,17;13589,5;11376,5;2302996200,0;1,56;30000,0;11666,67;1666,67;332,8;1,66;16,83;310,15;10143304,24
São Pedro da Cipa;MT;Centro-Oeste;2018,5;4671,5;355,0;314,33;57655400,0;43,33;40000,0;49166,67;1666,67;343,0;64,67;0,5;13,62;0,0
São Pedro da Serra;RS;Sul;2018,5;3755,5;762,67;594,33;76718400,0;127,83;0,0;4000,0;27000,0;35,4;38,83;0,0;106,09;43547,61
São Pedro da União;MG;Sudeste;2018,5;4732,67;502,17;408,5;96511200,0;93,33;50000,0;175833,33;58666,67;260,8;50,67;1,17;18,15;0,0
São Pedro da Água Branca;MA;Nordeste;2018,5;12636,83;598,17;543,67;98731200,0;50,83;0,0;1333,33;6666,67;720,5;156,33;2,0;17,54;0,0
São Pedro das Missões;RS;Sul;2018,5;2006,67;242,17;218,0;67109200,0;28,0;83333,33;51333,33;4333,33;80,0;20,17;0,0;25,08;0,0
São Pedro de Alcântara;SC;Sul;2018,5;5767,17;2416,5;1596,67;81311200,0;156,17;0,0;5333,33;1000,0;139,6;36,33;0,0;41,31;0,0
São Pedro do Butiá;RS;Sul;2018,5;2961,67;644,5;415,83;104933000,0;138,83;66666,67;59500,0;51000,0;107,6;27,0;0,0;27,52;5867,44
São Pedro do Iguaçu;PR;Sul;2018,5;6010,0;604,0;452,5;195956000,0;117,67;385000,0;323666,67;20333,33;308,3;81,5;0,5;19,49;11325,92
São Pedro do Ivaí;PR;Sul;2018,5;10973,83;2359,67;1972,5;294692600,0;315,83;513333,33;139166,67;1833,33;322,7;106,33;1,67;34,01;42389733,03
São Pedro do Paraná;PR;Sul;2018,5;2351,17;602,83;513,83;69997800,0;69,17;33333,33;15333,33;4333,33;250,7;33,17;0,17;9,38;1851806,85
São Pedro do Piauí;PI;Nordeste;2018,5;14218,17;747,17;652,17;108141600,0;101,33;53333,33;4666,67;2000,0;518,3;204,5;3,67;27,43;0,0
São Pedro do Suaçuí;MG;Sudeste;2018,5;4545,17;1294,17;1145,5;64231000,0;62,0;0,0;3666,67;14166,67;308,1;56,17;0,83;17,26;0,0
São Pedro do Sul;RS;Sul;2018,5;16372,33;2138,5;1620,33;382287600,0;459,17;548333,33;196000,0;4500,0;873,6;157,33;2,17;18,74;0,0
São Pedro do Turvo;SP;Sudeste;2018,5;7657,0;1496,17;760,5;195144400,0;702,67;528333,33;654500,0;2333,33;731,8;89,83;1,0;10,46;20284,23
São Pedro dos Crentes;MA;Nordeste;2018,5;4647,83;425,33;367,67;56020200,0;52,67;33333,33;24166,67;4333,33;979,6;93,0;0,67;4,74;0,0
São Pedro dos Ferros;MG;Sudeste;2018,5;7898,5;1066,17;902,0;114577800,0;125,67;40000,0;36833,33;3666,67;402,8;75,33;0,83;19,61;0,0
São Rafael;RN;Nordeste;2018,5;8246,17;493,33;444,0;75845400,0;52,0;83333,33;17666,67;4333,33;469,1;79,17;1,5;17,58;0,0
São Raimundo Nonato;PI;Nordeste;2018,5;34538,67;3992,17;3129,83;456979800,0;694,83;51666,67;2333,33;18000,0;2415,6;611,17;9,33;14,3;0,0
São Raimundo das Mangabeiras;MA;Nordeste;2018,5;18820,17;2641,17;2378,33;464880200,0;228,17;598333,33;667166,67;1000,0;3521,5;317,5;6,0;5,34;1031011,83
São Raimundo do Doca Bezerra;MA;Nordeste;2018,5;5128,17;304,83;292,0;37377000,0;13,67;18333,33;4666,67;4166,67;419,4;81,33;0,83;12,23;0,0
São Roberto;MA;Nordeste;2018,5;6722,83;674,33;645,5;41923800,0;13,67;0,0;1666,67;4666,67;227,5;76,17;1,0;29,55;0,0
São Romão;MG;Sudeste;2018,5;12222,83;775,0;656,5;159977800,0;120,67;243333,33;244833,33;5500,0;2434,0;105,33;1,0;5,02;0,0
São Roque;SP;Sudeste;2018,5;90345,67;22060,0;18601,83;2919748600,0;2,66;26666,67;40500,0;2500,0;306,3;311,23;13,17;294,96;310970234,19
São Roque de Minas;MG;Sudeste;2018,5;7068,17;1282,5;1059,5;221705000,0;194,5;376666,67;107833,33;47500,0;2098,9;72,17;1,0;3,37;0,0
São Roque do Canaã;ES;Sudeste;2018,5;12484,5;2194,0;1776,83;193780800,0;279,33;48333,33;59000,0;3500,0;342,4;106,17;1,33;36,46;1656,67
São Salvador do Tocantins;TO;Norte;2018,5;3084,5;272,0;258,33;36429000,0;24,5;0,0;1833,33;3333,33;1422,0;32,33;0,33;2,17;0,0
São Sebastião;AL;Nordeste;2018,5;34302,5;2024,0;1736,33;478538400,0;258,67;51666,67;44500,0;19166,67;315,1;498,67;7,0;108,86;797920171,88
São Sebastião;SP;Sudeste;2018,5;88062,17;20364,67;17507,33;3337318600,0;2,71;598333,33;5333,33;0,0;400,4;1,24;14,17;219,94;6019857652,03
São Sebastião da Amoreira;PR;Sul;2018,5;8896,17;945,33;717,67;208039600,0;162,33;401666,67;272500,0;45666,67;228,0;98,33;0,83;39,02;0,0
São Sebastião da Bela Vista;MG;Sudeste;2018,5;5490,17;1257,17;1115,67;363007000,0;126,5;56666,67;46833,33;19666,67;167,2;74,83;1,33;32,84;12140620,39
São Sebastião da Boa Vista;PA;Norte;2018,5;26443,5;1254,33;1182,0;205355800,0;70,67;0,0;54500,0;28833,33;1632,2;543,67;5,67;16,2;0,0
São Sebastião da Grama;SP;Sudeste;2018,5;12222,5;2555,33;1879,5;308551600,0;547,0;43333,33;190500,0;3833,33;252,4;92,33;1,17;48,43;1150430,04
São Sebastião da Vargem Alegre;MG;Sudeste;2018,5;3009,5;367,33;306,33;50733400,0;58,17;35000,0;18000,0;3500,0;73,6;26,5;0,17;40,89;0,0
São Sebastião de Lagoa de Roça;PB;Nordeste;2018,5;11757,0;736,0;664,83;91105400,0;64,83;0,0;2666,67;5333,33;49,9;147,33;1,5;235,61;0,0
São Sebastião do Alto;RJ;Sudeste;2018,5;9275,83;1260,0;955,5;201403400,0;92,33;0,0;42333,33;23000,0;397,9;99,33;0,83;23,31;0,0
São Sebastião do Anta;MG;Sudeste;2018,5;6522,0;539,17;468,83;66988200,0;65,5;55000,0;72166,67;4833,33;80,6;88,5;1,0;80,92;0,0
São Sebastião do Caí;RS;Sul;2018,5;25510,67;7563,17;6182,33;682862800,0;319,35;53333,33;65500,0;2500,0;111,4;306,67;3,33;229,0;38566493,79
São Sebastião do Maranhão;MG;Sudeste;2018,5;10182,5;534,33;440,83;78754000,0;91,17;43333,33;3666,67;41833,33;517,8;97,0;2,67;19,66;0,0
São Sebastião do Oeste;MG;Sudeste;2018,5;6728,5;3935,67;3711,0;390538600,0;158,5;0,0;1333,33;40666,67;408,1;129,33;1,33;16,49;2096255,12
São Sebastião do Paraíso;MG;Sudeste;2018,5;70894,17;20250,67;16650,5;1872718000,0;2,32;391666,67;572500,0;48333,33;814,9;886,67;9,33;87,0;53237655,47
São Sebastião do Passé;BA;Nordeste;2018,5;44822,5;5402,0;4826,17;627286200,0;395,83;0,0;5333,33;7500,0;538,3;496,67;7,17;83,27;50002687,2
São Sebastião do Rio Preto;MG;Sudeste;2018,5;1528,17;252,33;232,83;20159200,0;19,33;386666,67;28666,67;4333,33;128,0;11,67;0,33;11,94;0,0
São Sebastião do Rio Verde;MG;Sudeste;2018,5;2244,83;298,67;236,83;29384800,0;49,5;0,0;2666,67;3833,33;92,2;20,0;0,17;24,35;0,0
São Sebastião do Tocantins;TO;Norte;2018,5;4793,83;310,67;295,33;47540000,0;19,67;276666,67;1000,0;3500,0;287,3;69,33;0,33;16,69;0,0
São Sebastião do Uatumã;AM;Norte;2018,5;13876,83;552,0;515,0;112428000,0;38,33;25000,0;25500,0;0,0;10741,1;196,5;2,33;1,29;0,0
São Sebastião do Umbuzeiro;PB;Nordeste;2018,5;3494,33;232,17;210,0;32553600,0;29,17;33333,33;1166,67;0,0;460,6;47,0;0,33;7,59;0,0
São Sepé;RS;Sul;2018,5;23863,17;4035,17;3297,0;825114600,0;634,33;581666,67;433833,33;5500,0;2200,7;242,33;3,0;10,84;7049801,11
São Simão;GO;Centro-Oeste;2018,5;20391,5;2993,33;2556,83;1504181400,0;481,83;71666,67;60500,0;4333,33;414,0;238,17;3,67;49,25;27239302,41
São Simão;SP;Sudeste;2018,5;15300,0;4062,5;3384,5;452462600,0;527,0;516666,67;390666,67;3166,67;617,2;136,83;1,83;24,79;3212181,05
São Thomé das Letras;MG;Sudeste;2018,5;7099,0;1293,5;1026,33;99718600,0;200,33;63333,33;35666,67;3333,33;369,7;71,17;0,33;19,2;946,67
São Tiago;MG;Sudeste;2018,5;10986,83;2008,17;1655,67;175428400,0;291,0;26666,67;23333,33;20166,67;572,4;116,67;0,5;19,19;1632212,37
São Tomás de Aquino;MG;Sudeste;2018,5;7082,5;998,83;769,33;139712400,0;145,17;86666,67;317666,67;5833,33;277,9;82,0;0,5;25,49;40967,0
São Tomé;PR;Sul;2018,5;5724,0;959,67;820,67;154394200,0;103,17;493333,33;65333,33;6166,67;218,6;67,0;1,0;26,18;106397,76
São Tomé;RN;Nordeste;2018,5;11108,83;708,67;615,5;96094000,0;84,67;5000,0;500,0;500,0;862,6;110,5;1,83;12,88;12891,71
São Valentim;RS;Sul;2018,5;3383,33;658,67;508,67;93878200,0;122,83;53333,33;64333,33;32000,0;154,2;31,5;0,0;21,94;0,0
São Valentim do Sul;RS;Sul;2018,5;2250,0;501,33;371,17;58092400,0;115,0;40000,0;51333,33;17000,0;92,2;15,17;0,17;24,4;7208,87
São Valério da Natividade;TO;Norte;2018,5;4000,17;393,17;347,67;105674400,0;47,33;446666,67;81833,33;3666,67;2519,6;50,5;0,5;1,59;0,0
São Valério do Sul;RS;Sul;2018,5;2738,0;234,0;204,33;58152800,0;35,5;261666,67;57666,67;21833,33;108,0;39,67;0,33;25,35;0,0
São Vendelino;RS;Sul;2018,5;2218,33;850,83;657,5;73478600,0;136,83;495000,0;2000,0;3666,67;32,1;23,67;0,17;69,11;90384,89
São Vicente;RN;Nordeste;2018,5;6441,83;662,5;586,17;66345600,0;75,5;10000,0;3000,0;4666,67;197,8;65,0;0,33;32,57;11625553,25
São Vicente;SP;Sudeste;2018,5;364422,33;34428,83;28046,5;5399517600,0;5,33;0,0;0,0;0,0;148,9;4,39;63,33;2447,43;58674627,2
São Vicente Ferrer;MA;Nordeste;2018,5;21817,33;725,17;641,33;133655800,0;84,83;36666,67;3666,67;0,0;390,8;272,5;3,0;55,83;0,0
São Vicente Ferrer;PE;Nordeste;2018,5;17990,17;1246,33;1118,5;232226400,0;109,67;35000,0;110833,33;2166,67;114,0;272,5;3,33;157,81;0,0
São Vicente de Minas;MG;Sudeste;2018,5;7736,17;1380,5;1112,83;163276000,0;189,33;48333,33;62166,67;39500,0;392,7;80,5;1,33;19,7;1051826,19
São Vicente do Sul;RS;Sul;2018,5;8754,0;2462,0;1793,0;312435400,0;213,83;356666,67;522833,33;2666,67;1175,2;80,33;0,17;7,45;777213,33
Sério;RS;Sul;2018,5;2031,5;473,83;200,17;44128000,0;105,5;3333,33;34833,33;12000,0;99,6;18,5;0,33;20,4;0,0
Sítio Novo;MA;Nordeste;2018,5;18015,0;1246,5;1161,17;157586800,0;86,33;45000,0;13333,33;23000,0;3114,9;290,33;4,17;5,78;0,0
Sítio Novo;RN;Nordeste;2018,5;5528,83;313,17;289,83;44153800,0;25,0;0,0;500,0;0,0;213,5;57,5;0,33;25,9;0,0
Sítio Novo do Tocantins;TO;Norte;2018,5;9079,67;721,67;658,83;99752000,0;53,17;0,0;1000,0;3666,67;324,1;143,67;1,83;28,02;0,0
Sítio dAbadia;GO;Centro-Oeste;2018,5;2998,17;210,33;180,67;48819000,0;28,17;51666,67;62000,0;4666,67;1598,3;23,83;0,17;1,88;0,0
Sítio do Mato;BA;Nordeste;2018,5;13159,67;675,17;612,5;101402400,0;60,0;113333,33;20166,67;6833,33;1751,0;204,33;4,0;7,52;0,0
Sítio do Quinto;BA;Nordeste;2018,5;10372,33;750,33;646,67;84207200,0;75,67;258333,33;15166,67;5666,67;702,1;131,83;1,5;14,77;0,0
Tabaporã;MT;Centro-Oeste;2018,5;9424,5;1040,83;846,83;489015000,0;212,0;5920000,0;276015,5;5833,33;8317,1;130,33;1,83;1,13;0,0
Tabapuã;SP;Sudeste;2018,5;12368,33;1991,0;1582,83;245102200,0;377,83;298333,33;699166,67;3000,0;345,6;108,17;1,33;35,79;30506,33
Tabatinga;AM;Norte;2018,5;65332,83;3640,0;3364,33;534309400,0;239,67;0,0;4166,67;2833,33;3224,9;1,73;34,0;20,26;256485,13
Tabatinga;SP;Sudeste;2018,5;16408,67;3289,0;2471,67;264248200,0;704,0;291666,67;269666,67;0,0;369,6;196,67;2,5;44,4;0,0
Tabaí;RS;Sul;2018,5;4665,17;781,83;596,17;88228200,0;167,5;0,0;3000,0;18833,33;94,8;60,5;0,67;49,21;0,0
Tabira;PE;Nordeste;2018,5;28483,67;2255,67;1940,5;260975000,0;306,83;40000,0;4666,67;4333,33;388,0;416,5;5,5;73,41;9000,91
Tabocas do Brejo Velho;BA;Nordeste;2018,5;12694,33;988,5;850,33;158609000,0;126,0;16666,67;4333,33;4333,33;1375,8;147,0;1,5;9,23;257309094,01
Taboleiro Grande;RN;Nordeste;2018,5;2568,5;362,0;337,83;26629600,0;29,0;0,0;0,0;0,0;124,1;31,0;0,33;20,7;0,0
Taboão da Serra;SP;Sudeste;2018,5;286999,33;62286,5;55468,33;8553751800,0;5,22;0,0;0,0;0,0;20,3;4,12;45,33;14137,9;1782101910,37
Tabuleiro;MG;Sudeste;2018,5;3812,17;538,0;446,83;53935200,0;75,0;716666,67;0,0;12833,33;211,1;41,17;0,67;18,06;0,0
Tabuleiro do Norte;CE;Nordeste;2018,5;30857,5;2519,17;2041,67;336540000,0;398,67;35000,0;22500,0;40666,67;861,8;365,17;5,5;35,81;0,0
Tacaimbó;PE;Nordeste;2018,5;12865,17;946,17;862,33;152161600,0;72,33;41666,67;2500,0;46666,67;227,6;168,17;3,0;56,53;402397,71
Tacaratu;PE;Nordeste;2018,5;25683,0;1437,5;1339,83;175988800,0;111,0;40000,0;18333,33;833,33;1264,5;320,17;4,67;20,31;1087337,55
Taciba;SP;Sudeste;2018,5;6261,67;814,83;601,33;158041000,0;194,17;473333,33;615333,33;5333,33;607,3;76,5;0,67;10,31;315546,72
Tacuru;MS;Centro-Oeste;2018,5;11482,0;700,17;588,67;212968200,0;91,0;593333,33;73833,33;5833,33;1785,3;187,17;4,17;6,43;0,0
Taguatinga;TO;Norte;2018,5;16654,67;1189,0;981,33;233755000,0;166,67;176666,67;27500,0;22500,0;2437,4;161,33;1,17;6,83;0,0
Taguaí;SP;Sudeste;2018,5;13657,67;4701,33;4305,33;244841200,0;338,83;5000,0;48000,0;4166,67;145,3;190,5;2,17;94,0;0,0
Taiaçu;SP;Sudeste;2018,5;6285,67;674,17;496,17;92618600,0;150,17;30000,0;55000,0;4666,67;106,6;63,5;0,5;58,96;0,0
Tailândia;PA;Norte;2018,5;105691,17;10110,67;9249,83;929243400,0;635,67;323333,33;437833,33;2833,33;4430,2;1,48;21,83;23,86;2086441,03
Taiobeiras;MG;Sudeste;2018,5;34073,33;5488,5;4272,83;451577600,0;901,83;25000,0;44000,0;5333,33;1194,5;462,0;4,33;28,52;186968,56
Taipas do Tocantins;TO;Norte;2018,5;2145,0;229,67;214,17;25460600,0;23,17;150000,0;2500,0;4500,0;1116,2;27,33;0,17;1,92;0,0
Taipu;RN;Nordeste;2018,5;12329,5;725,83;681,83;121098600,0;41,33;35000,0;49666,67;59500,0;352,8;138,5;2,5;34,95;185483,24
Taió;SC;Sul;2018,5;18363,5;6472,83;5136,83;617005600,0;774,0;48333,33;58000,0;45333,33;693,0;255,67;2,5;26,5;26590399,33
Taiúva;SP;Sudeste;2018,5;5577,83;799,83;593,17;113079000,0;170,83;66666,67;47666,67;0,0;132,5;56,33;0,5;42,1;568,0
Talismã;TO;Norte;2018,5;2790,5;325,0;286,67;89063000,0;42,83;546666,67;55833,33;3333,33;2156,9;31,17;0,17;1,29;0,0
Tamandaré;PE;Nordeste;2018,5;23327,0;3245,5;2875,67;301129600,0;338,83;30000,0;35166,67;3833,33;214,3;401,67;5,83;108,85;260131,69
Tamarana;PR;Sul;2018,5;14624,0;1905,5;1470,83;460199800,0;280,5;463333,33;232833,33;4000,0;472,2;181,33;2,67;30,97;185445,37
Tambaú;SP;Sudeste;2018,5;23230,67;5929,0;4834,67;560891600,0;815,33;506666,67;693833,33;4500,0;561,8;272,17;3,17;41,35;3206911,91
Tamboara;PR;Sul;2018,5;5107,67;889,67;637,33;118392800,0;171,33;33333,33;38000,0;4333,33;193,3;66,33;0,17;26,42;1780613,73
Tamboril;CE;Nordeste;2018,5;25915,17;1497,0;1230,33;221553400,0;211,67;353333,33;46000,0;4000,0;2000,8;317,17;5,17;12,95;0,0
Tamboril do Piauí;PI;Nordeste;2018,5;2904,33;243,0;223,83;24488400,0;21,0;38333,33;3666,67;0,0;1587,3;44,33;0,67;1,83;0,0
Tanabi;SP;Sudeste;2018,5;25908,17;5419,33;3677,5;978067800,0;1,56;503333,33;396166,67;52666,67;745,8;266,67;2,0;34,74;771997,2
Tangará;RN;Nordeste;2018,5;15791,83;1107,33;951,5;164435400,0;131,33;3333,33;166,67;0,0;356,8;201,83;2,17;44,26;826771,33
Tangará;SC;Sul;2018,5;8693,83;2487,33;2210,33;426582200,0;233,17;336666,67;174500,0;46666,67;389,2;85,17;1,67;22,34;1605647,01
Tangará da Serra;MT;Centro-Oeste;2018,5;102436,0;24849,5;20559,0;3345812000,0;3,12;6403333,33;532665,0;39166,67;11391,3;1,64;17,33;8,99;18767724,41
Tanguá;RJ;Sudeste;2018,5;33893,33;3971,83;3462,83;565540800,0;351,17;26666,67;51500,0;3166,67;145,5;442,5;6,17;232,94;196765,61
Tanhaçu;BA;Nordeste;2018,5;20701,5;1761,0;1377,17;198934000,0;329,17;28333,33;19166,67;5166,67;1234,5;238,0;3,67;16,77;316,19
Tanque Novo;BA;Nordeste;2018,5;17548,83;1291,5;923,17;158095800,0;328,0;50000,0;5333,33;5333,33;722,9;214,33;3,0;24,28;0,0
Tanque dArca;AL;Nordeste;2018,5;6194,17;425,67;398,5;57953000,0;33,33;0,0;4500,0;16333,33;129,5;75,0;1,5;47,83;0,0
Tanque do Piauí;PI;Nordeste;2018,5;2751,0;284,33;240,5;27544200,0;27,5;35000,0;9666,67;0,0;398,7;34,5;0,33;6,9;0,0
Tanquinho;BA;Nordeste;2018,5;8022,83;552,33;451,5;53976000,0;81,67;0,0;25500,0;4833,33;219,9;74,0;0,67;36,48;0,0
Taparuba;MG;Sudeste;2018,5;3136,33;403,33;364,67;37517800,0;32,17;0,0;6500,0;21166,67;193,1;40,67;0,0;16,24;0,0
Tapauá;AM;Norte;2018,5;17385,83;1119,17;1089,0;242730200,0;32,0;53333,33;54333,33;0,0;89325,3;423,33;7,17;0,19;0,0
Tapejara;PR;Sul;2018,5;16148,17;2958,0;2284,0;485921200,0;440,83;323333,33;246166,67;62833,33;591,4;193,5;3,17;27,3;198903,19
Tapejara;RS;Sul;2018,5;23528,83;9925,17;7993,83;1097382600,0;1,23;453333,33;181500,0;41833,33;238,8;344,0;3,17;98,53;367015666,07
Tapera;RS;Sul;2018,5;10657,67;2975,17;2202,33;440178200,0;519,33;391666,67;114166,67;22500,0;179,7;124,17;1,17;59,31;428462,28
Taperoá;BA;Nordeste;2018,5;21230,17;1116,83;949,83;174934200,0;159,0;70000,0;27000,0;32333,33;410,8;246,0;3,0;51,68;0,0
Taperoá;PB;Nordeste;2018,5;15329,33;1034,67;921,17;122297600,0;112,17;55000,0;4000,0;4500,0;662,9;206,67;3,33;23,12;0,0
Tapes;RS;Sul;2018,5;17346,0;2078,5;1472,17;371869600,0;478,83;411666,67;297833,33;0,0;806,3;165,33;2,17;21,51;1455,03
Tapira;MG;Sudeste;2018,5;4742,33;944,67;855,33;587140000,0;68,5;226666,67;375666,67;73500,0;1179,2;53,5;0,5;4,02;1300510,79
Tapira;PR;Sul;2018,5;5615,33;835,83;684,0;128092000,0;138,0;36666,67;62833,33;40666,67;434,4;64,5;1,17;12,93;0,0
Tapiramutá;BA;Nordeste;2018,5;17278,17;898,17;2284,83;115688400,0;92,5;26666,67;8333,33;4833,33;663,9;222,0;2,17;26,03;0,0
Tapiratiba;SP;Sudeste;2018,5;12991,83;5146,17;4810,5;294013200,0;281,5;80000,0;44666,67;48166,67;222,5;124,17;0,83;58,39;24481,75
Tapiraí;MG;Sudeste;2018,5;1889,5;197,33;185,5;41005400,0;15,83;51666,67;61166,67;11833,33;407,9;12,0;0,0;4,63;0,0
Tapiraí;SP;Sudeste;2018,5;7855,17;1069,17;901,5;152836000,0;146,33;0,0;5000,0;0,0;755,1;101,17;2,0;10,4;0,0
Tapurah;MT;Centro-Oeste;2018,5;13514,83;2492,83;1740,17;943131000,0;540,33;4026666,67;178410,5;3833,33;4510,6;221,67;3,17;3,0;1941424,95
Taquara;RS;Sul;2018,5;57503,67;11924,67;8780,5;1315821800,0;2,17;33333,33;43000,0;5666,67;457,9;640,83;6,67;125,58;11202371,48
Taquaral;SP;Sudeste;2018,5;2815,5;1448,17;1273,0;38754400,0;43,0;56666,67;44500,0;34000,0;53,9;23,33;0,33;52,24;0,0
Taquaral de Goiás;GO;Centro-Oeste;2018,5;3557,17;788,0;626,83;68629200,0;129,83;21666,67;4333,33;45000,0;204,2;42,17;0,17;17,42;0,0
Taquarana;AL;Nordeste;2018,5;20067,0;1229,67;1035,5;291778200,0;186,0;51666,67;47000,0;33500,0;166,0;277,33;3,33;120,89;0,0
Taquaraçu de Minas;MG;Sudeste;2018,5;4079,83;549,33;454,67;50204000,0;59,0;0,0;6333,33;5500,0;329,2;38,67;0,17;12,39;0,0
Taquari;RS;Sul;2018,5;26977,83;5019,5;3875,67;755581000,0;902,33;46666,67;44500,0;10333,33;350,0;272,33;2,0;77,08;215866165,87
Taquaritinga;SP;Sudeste;2018,5;57132,33;11767,5;9034,5;1528320200,0;2,28;753333,33;570833,33;4833,33;593,6;595,33;7,5;96,25;5714161,41
Taquaritinga do Norte;PE;Nordeste;2018,5;28688,17;2532,17;2205,33;272010600,0;284,33;51666,67;3666,67;2666,67;475,2;362,5;5,17;60,37;0,0
Taquarituba;SP;Sudeste;2018,5;23231,33;5445,33;4176,83;735131800,0;1,18;365000,0;513333,33;51000,0;448,4;307,5;3,5;51,81;934474,55
Taquarivaí;SP;Sudeste;2018,5;5816,33;1103,0;772,83;245502800,0;308,33;353333,33;633333,33;13166,67;231,8;99,17;1,33;25,09;91116,67
Taquarussu;MS;Centro-Oeste;2018,5;3581,17;457,33;403,83;121257200,0;46,83;603333,33;139000,0;6166,67;1041,1;39,33;0,67;3,44;0,0
Taquaruçu do Sul;RS;Sul;2018,5;3082,5;1389,5;1052,5;119558200,0;136,33;56666,67;34333,33;67833,33;76,8;35,5;0,17;40,14;0,0
Tarabai;SP;Sudeste;2018,5;7425,0;1155,67;948,83;117455400,0;181,0;16666,67;67166,67;4500,0;196,8;85,0;0,83;37,73;8869,32
Tarauacá;AC;Norte;2018,5;41812,5;2163,17;1861,17;477151400,0;240,17;25000,0;35333,33;3666,67;20171,0;1,15;23,0;2,07;0,0
Tarrafas;CE;Nordeste;2018,5;8728,83;565,83;517,33;68984000,0;49,5;48333,33;2333,33;5500,0;454,4;98,67;1,33;19,21;0,0
Tartarugalzinho;AP;Norte;2018,5;16988,83;945,5;886,0;218416200,0;56,5;31666,67;59500,0;3833,33;6709,6;323,5;5,67;2,53;0,0
Tarumirim;MG;Sudeste;2018,5;14432,5;1414,0;1080,0;147881600,0;295,33;11666,67;4000,0;47500,0;731,8;141,17;1,5;19,72;923,95
Tarumã;SP;Sudeste;2018,5;14880,17;4491,33;3972,33;787046000,0;442,0;366666,67;569000,0;4500,0;303,2;195,5;2,33;49,08;412445,63
Tasso Fragoso;MA;Nordeste;2018,5;8506,83;768,5;716,83;1215312400,0;59,17;5066666,67;421938,83;0,0;4383,0;141,5;1,0;1,94;4196849,76
Tatuí;SP;Sudeste;2018,5;121027,0;36755,33;32323,0;4009177400,0;3,31;511666,67;143500,0;471000,0;523,5;1,62;21,33;231,19;286327779,49
Taubaté;SP;Sudeste;2018,5;313106,67;71249,0;59554,83;16278880800,0;8,65;48333,33;27333,33;58833,33;624,9;3,8;39,83;501,05;6756763548,85
Tauá;CE;Nordeste;2018,5;58621,67;4933,33;4080,33;613182200,0;862,33;583333,33;8000,0;62833,33;4009,3;760,33;8,67;14,62;347797,76
Tavares;PB;Nordeste;2018,5;14694,33;858,17;739,83;116704000,0;109,33;53333,33;2000,0;5666,67;237,3;180,0;1,83;61,92;0,0
Tavares;RS;Sul;2018,5;5509,17;729,0;552,0;86906000,0;152,33;36666,67;49000,0;0,0;604,3;46,83;0,67;9,12;0,0
Tefé;AM;Norte;2018,5;60508,5;6383,0;5902,83;860660800,0;420,0;68333,33;165333,33;0,0;23704,5;1,81;30,5;2,55;1081585,6
Teixeira;PB;Nordeste;2018,5;15181,67;1009,67;2153,17;139561800,0;150,0;38333,33;4000,0;333,33;160,9;226,0;4,17;94,35;21472,29
Teixeira Soares;PR;Sul;2018,5;12226,33;1213,83;997,83;391846400,0;186,33;318333,33;483833,33;42833,33;902,8;129,33;1,5;13,54;0,0
Teixeira de Freitas;BA;Nordeste;2018,5;161193,83;23625,83;19460,5;2470052800,0;2,92;38333,33;42333,33;60666,67;1163,9;2,57;24,33;138,49;190116,23
Teixeiras;MG;Sudeste;2018,5;9966,67;1341,5;1084,33;141543400,0;243,67;28333,33;38500,0;4166,67;166,7;112,5;0,67;70,3;0,0
Teixeirópolis;RO;Norte;2018,5;4497,0;490,5;415,0;88978600,0;48,0;0,0;1833,33;26666,67;460,0;55,5;1,0;9,78;0,0
