Ano;Populacao;PessoalOcupado;PessoalAssalariado;PIB;QtEmpresas;AreaPlantada_h;VlProducaoAgricola;VlProducaoPecuaria;Area;NrNascimentos;NrObitosInfantis;povoamento;UF;Municipio;Regiao;Exportacoes_R$
2017;23267,0;5708,0;4672,0;534930000,0;804,0;360000,0;918000,0;5000,0;561,8;303,0;4,0;41,415;SP;Tambaú;Sudeste;1602566,5599999998
2017;15018,0;2590,0;1884,0;374504000,0;512,0;60000,0;11000,0;2000,0;130,4;189,0;2,0;115,169;RS;Sobradinho;Sul;97593,76
2017;32280,0;3351,0;2894,0;520236000,0;383,0;80000,0;90000,0;73000,0;150,3;434,0;7,0;214,77;PE;Nazaré da Mata;Nordeste;13802536,319999998
2017;97010,0;11486,0;10392,0;1356045000,0;885,0;90000,0;93000,0;68000,0;32,0;1,359;13,0;3031,563;PB;Bayeux;Nordeste;138527906,88
2017;40530,0;6935,0;5543,0;832925000,0;1,147;920000,0;349000,0;44000,0;860,7;534,0;8,0;47,09;MG;Boa Esperança;Sudeste;572095,28
2017;6456,0;2057,0;1637,0;230138000,0;359,0;50000,0;49000,0;0,0;202,6;42,0;0,0;31,866;RS;Chuí;Sul;672682,4
2017;46260,0;2274,0;1998,0;334400000,0;247,0;0,0;55000,0;0,0;440,2;449,0;5,0;105,089;BA;Maragogipe;Nordeste;
2017;21973,0;2965,0;2266,0;1121579000,0;601,0;370000,0;466000,0;6000,0;822,0;269,0;2,0;26,731;SP;Miguelópolis;Sudeste;
2017;26991,0;4865,0;3813,0;475416000,0;798,0;0,0;9000,0;1000,0;385,0;365,0;1,0;70,106;SP;Piracaia;Sudeste;7927547,6
2017;3347,0;754,0;565,0;42885000,0;117,0;910000,0;0,0;1000,0;90,8;27,0;0,0;36,861;MG;Pequeri;Sudeste;
2017;8186,0;1710,0;1292,0;319493000,0;332,0;650000,0;56000,0;33000,0;204,7;128,0;2,0;39,99;PR;Nova Santa Rosa;Sul;2554568,6399999997
2017;6109,0;1691,0;1326,0;186359000,0;276,0;70000,0;1000,0;65000,0;124,5;51,0;0,0;49,068;RS;Barão;Sul;9000760,879999999
2017;176060,0;38375,0;30623,0;5090374000,0;5,042;0,0;32000,0;0,0;770,6;2,3;29,0;228,471;RJ;Teresópolis;Sudeste;80371460,39999999
2017;13870,0;4073,0;3542,0;458519000,0;407,0;0,0;7000,0;2000,0;262,7;137,0;3,0;52,798;SC;Siderópolis;Sul;1645819,76
2017;32220,0;4763,0;3476,0;1417196000,0;1,205;5030000,0;915000,0;9000,0;1388,2;374,0;3,0;23,21;SP;Morro Agudo;Sudeste;9940,0
2017;10614,0;2141,0;1401,0;256779000,0;537,0;120000,0;308000,0;3000,0;271,6;114,0;1,0;39,08;RS;Arvorezinha;Sul;
2017;53110,0;5480,0;4805,0;798724000,0;487,0;110000,0;58000,0;435000,0;1623,9;599,0;4,0;32,705;CE;Beberibe;Nordeste;15668796,879999999
2017;20849,0;1028,0;892,0;375755000,0;111,0;760000,0;158000,0;58000,0;10330,2;143,0;4,0;2,018;PA;Santa Maria das Barreiras;Norte;
2017;14704,0;2582,0;1982,0;454511000,0;438,0;380000,0;635000,0;56000,0;647,9;193,0;3,0;22,695;PR;Iporã;Sul;
2017;48830,0;6169,0;5333,0;591211000,0;637,0;40000,0;1000,0;1000,0;663,4;738,0;7,0;73,606;CE;Brejo Santo;Nordeste;9774149,68
2017;18103,0;3320,0;2730,0;463454000,0;448,0;200000,0;68000,0;8000,0;477,8;295,0;6,0;37,888;MS;Mundo Novo;Centro-Oeste;230831366,0
2017;22208,0;3561,0;2694,0;329304000,0;697,0;0,0;0,0;2000,0;100,5;230,0;2,0;220,975;MG;Caxambu;Sudeste;545,28
2017;5333,0;393,0;333,0;197328000,0;49,0;910000,0;600000,0;1000,0;3794,9;104,0;3,0;1,405;MT;General Carneiro;Centro-Oeste;
2017;181928,0;39944,0;38339,0;2597777000,0;1,22;60000,0;48000,0;7000,0;156,8;3,235;50,0;1160,255;SE;Nossa Senhora do Socorro;Nordeste;201764869,12
2017;7545,0;4084,0;3750,0;614882000,0;361,0;70000,0;9000,0;30000,0;185,2;124,0;0,0;40,74;SC;Treze Tílias;Sul;6920790,319999999
2017;2543,0;328,0;303,0;59496000,0;41,0;70000,0;22000,0;7000,0;350,1;45,0;2,0;7,264;SC;Vargem;Sul;
2017;13232,0;5195,0;4485,0;447153000,0;491,0;70000,0;2000,0;5000,0;146,9;152,0;2,0;90,075;SP;Morungaba;Sudeste;33056730,959999997
2017;3544,0;432,0;341,0;103993000,0;75,0;820000,0;40000,0;0,0;110,2;63,0;1,0;32,16;PR;Santa Cecília do Pavão;Sul;
2017;1967,0;338,0;280,0;51586000,0;49,0;0,0;9000,0;41000,0;103,6;6,0;0,0;18,986;SC;Alto Bela Vista;Sul;1253138,64
2017;9079,0;3510,0;2450,0;415055000,0;582,0;370000,0;44000,0;50000,0;271,7;117,0;1,0;33,416;RS;Casca;Sul;11563991,52
2017;7820,0;1148,0;985,0;209389000,0;146,0;70000,0;52000,0;8000,0;2507,3;136,0;4,0;3,119;MS;Bodoquena;Centro-Oeste;9186076,559999999
2017;2715,0;489,0;463,0;68345000,0;23,0;0,0;0,0;41000,0;342,2;34,0;0,0;7,934;RN;Galinhos;Nordeste;338675,68
2017;11488,0;3120,0;2372,0;273991000,0;522,0;0,0;9000,0;8000,0;128,1;133,0;2,0;89,68;SC;Rodeio;Sul;109204816,0
2017;5066,0;762,0;574,0;289227000,0;150,0;6110000,0;530000,0;5000,0;5035,2;86,0;0,0;1,006;MT;Novo São Joaquim;Centro-Oeste;
2017;22196,0;4267,0;3300,0;698009000,0;744,0;210000,0;186000,0;1000,0;547,8;261,0;5,0;40,518;SP;Palmital;Sudeste;30350267,759999998
2017;27554,0;5484,0;4600,0;654583000,0;753,0;230000,0;554000,0;9000,0;182,8;410,0;5,0;150,733;SP;Conchal;Sudeste;4784036,8
2017;4845,0;753,0;558,0;160416000,0;153,0;200000,0;34000,0;8000,0;326,3;47,0;1,0;14,848;SP;Analândia;Sudeste;1075951,04
2017;10846,0;2666,0;2283,0;214033000,0;296,0;0,0;8000,0;39000,0;249,1;139,0;0,0;43,541;MG;Perdigão;Sudeste;4884,8
2017;9309,0;953,0;857,0;134750000,0;89,0;390000,0;14000,0;0,0;245,7;127,0;2,0;37,888;RN;Baía Formosa;Nordeste;
2017;12002,0;1335,0;1075,0;241325000,0;295,0;80000,0;76000,0;24000,0;1654,6;133,0;0,0;7,254;GO;Cachoeira Alta;Centro-Oeste;
2017;12247,0;1909,0;1486,0;365514000,0;371,0;800000,0;0,0;8000,0;469,3;190,0;2,0;26,096;RS;Nonoai;Sul;
2017;15287,0;3570,0;3150,0;844418000,0;437,0;740000,0;615000,0;14000,0;2251,0;169,0;3,0;6,791;GO;Caçu;Centro-Oeste;
2017;99997,0;22240,0;18665,0;2705960000,0;2,763;0,0;70000,0;6000,0;1105,3;1,177;13,0;90,47;RJ;Itaperuna;Sudeste;2011111,92
2017;16852,0;959,0;810,0;299920000,0;124,0;30000,0;80000,0;3000,0;12461,2;309,0;5,0;1,352;RR;Mucajaí;Norte;
2017;50447,0;6341,0;5515,0;893120000,0;603,0;0,0;0,0;5000,0;179,7;531,0;8,0;280,729;RJ;Paracambi;Sudeste;56701179,36
2017;10581,0;3116,0;2592,0;243184000,0;482,0;90000,0;23000,0;57000,0;207,1;159,0;3,0;51,091;SC;Agrolândia;Sul;2681704,08
2017;52216,0;2640,0;2409,0;373305000,0;246,0;50000,0;2000,0;3000,0;539,1;707,0;10,0;96,858;PA;Vigia;Norte;
2017;3382,0;1158,0;845,0;155477000,0;198,0;80000,0;9000,0;2000,0;107,9;48,0;0,0;31,344;RS;Vila Flores;Sul;12690057,2
2017;14099,0;7615,0;6722,0;523649000,0;599,0;80000,0;26000,0;0,0;402,1;147,0;3,0;35,063;SC;Nova Trento;Sul;59628094,72
2017;2417,0;233,0;179,0;128348000,0;62,0;450000,0;43000,0;52000,0;254,8;27,0;0,0;9,486;RS;Nova Ramada;Sul;
2017;3709,0;1882,0;1672,0;137911000,0;139,0;60000,0;2000,0;0,0;89,7;44,0;2,0;41,349;SC;Braço do Trombudo;Sul;231244,15999999997
2017;13618,0;4617,0;4182,0;650878000,0;356,0;510000,0;15000,0;0,0;140,8;154,0;5,0;96,719;SP;Itapuí;Sudeste;121341,84
2017;12204,0;2279,0;1769,0;270481000,0;362,0;0,0;4000,0;19000,0;102,3;149,0;0,0;119,296;RS;Bom Retiro do Sul;Sul;10483905,44
2017;38259,0;3494,0;2916,0;339840000,0;448,0;60000,0;98000,0;6000,0;463,2;462,0;4,0;82,597;BA;Amargosa;Nordeste;
2017;24018,0;3985,0;3282,0;527464000,0;478,0;240000,0;31000,0;26000,0;1455,8;234,0;2,0;16,498;MG;Bambuí;Sudeste;
2017;28718,0;7363,0;6392,0;643926000,0;760,0;540000,0;710000,0;2000,0;681,1;388,0;7,0;42,164;SP;Pilar do Sul;Sudeste;1320974,88
2017;12566,0;1779,0;1485,0;774097000,0;292,0;670000,0;153000,0;15000,0;1874,2;167,0;2,0;6,705;GO;Montividiu;Centro-Oeste;2088092,96
