Ano,Regiao,UF,Municipio,PIB,Populacao,PIB_per_capita
2018,Centro-Oeste,MS,Chapadão do Sul,1777555.0,24559.0,72378.96494156928
2018,Sul,RS,Hulha Negra,201896.0,6714.0,30070.89663389932
2018,Nordeste,BA,Formosa do Rio Preto,2695037.0,25311.0,106476.90727351744
2018,Sul,RS,Erechim,4960046.0,105059.0,47212.004683082836
2018,Sul,SC,Itapoá,793242.0,19963.0,39735.61088012824
2018,Nordeste,CE,Maracanaú,10330813.0,226128.0,45685.68686761481
2018,Sudeste,SP,Pirapora do Bom Jesus,448449.0,18604.0,24104.97742420985
2018,Sudeste,MG,Ouro Fino,714799.0,33481.0,21349.39219258684
2018,Sudeste,SP,Caçapava,3990604.0,93488.0,42685.73506760226
2018,Sudeste,SP,Estrela dOeste,625971.0,8418.0,74361.01211689237
2018,Sudeste,SP,Monte Mor,3515136.0,58765.0,59816.82974559687
2018,Sul,PR,Jaguapitã,781434.0,13494.0,57909.73766118274
2018,Sudeste,SP,Franca,9992413.0,350400.0,28517.16038812785
2018,Sul,SC,Araranguá,1833796.0,67578.0,27135.99100298914
2018,Centro-Oeste,MT,Nova Ubiratã,1082306.0,11694.0,92552.2490165897
2018,Nordeste,BA,Correntina,1944233.0,32081.0,60603.87768461083
2018,Sudeste,RJ,Campos dos Goytacazes,32338283.0,503424.0,64236.67326150522
2018,Sul,PR,Marialva,1481656.0,35180.0,42116.42978965321
2018,Centro-Oeste,MT,Santa Rita do Trivelato,589915.0,3330.0,177151.65165165166
2018,Sudeste,SP,Cruzeiro,2428457.0,81895.0,29653.29995726235
2018,Sul,SC,Seara,800616.0,17506.0,45733.80555238204
2018,Sudeste,MG,Juiz de Fora,16956903.0,564310.0,30048.91460367529
2018,Sul,SC,Rio Negrinho,1158392.0,42106.0,27511.328551750346
2018,Sudeste,SP,Itapetininga,4751790.0,162231.0,29290.27127984171
2018,Sudeste,SP,Cajamar,16971943.0,75638.0,224383.81501361748
2018,Sudeste,MG,Iturama,2155469.0,38822.0,55521.84328473546
2018,Sul,SC,Itapiranga,774243.0,16736.0,46262.12954110898
2018,Norte,TO,Palmas,9430360.0,291855.0,32311.798667146362
2018,Sudeste,SP,Orlândia,1656635.0,43687.0,37920.5484469064
2018,Sudeste,MG,Matipó,381607.0,18808.0,20289.610803913227
